# mesh name: cylinderMesh1
# primitive scorer name: eDep
# iZ, iPHI, iR, total(value) [MeV], total(val^2), entry
0,0,0,2713439.645094183,48550724909.58301,200
0,0,1,1820594.468928903,18059710949.04013,200
0,0,2,1140323.825674634,7001228308.738825,200
0,0,3,805285.7747059017,3439299765.901886,200
0,0,4,608890.5506264794,1982326634.732987,200
0,0,5,479472.2794141283,1239128933.530191,200
0,0,6,396019.7648087824,869990604.0004189,200
0,0,7,324901.6818053332,596703537.7655535,200
0,0,8,264097.5930096612,392481334.6935993,200
0,0,9,223248.7108757052,288716070.9899455,200
0,0,10,191477.5140637,213010452.4879211,200
0,0,11,164976.9603033881,159079537.4976564,200
0,0,12,142570.799655681,118730906.1619719,200
0,0,13,121978.2202097091,88006132.19888389,200
0,0,14,109542.3309340474,72866052.22795926,200
0,0,15,97152.5535949997,56375178.17745106,200
0,0,16,89823.2548392009,48744822.0397234,200
0,0,17,85043.60893681072,44540831.18118623,200
0,0,18,73831.09405285113,34038183.11466839,200
0,0,19,67409.45082920518,28511399.49165366,200
0,0,20,62269.46412452,25014599.77730838,200
0,0,21,55503.5054572979,20254532.80927593,200
0,0,22,52518.93765508066,18913480.39821639,200
0,0,23,47386.78771574389,14594738.76168207,200
0,0,24,42535.38138862367,11698732.05767549,200
0,0,25,38313.8801493166,9555352.152866544,200
0,0,26,35432.18024737611,8402235.521635825,200
0,0,27,33178.89092180091,7682910.91634435,200
0,0,28,32084.89319527448,7632721.780629638,200
0,0,29,28920.13760868851,5923878.004400664,200
0,0,30,27932.07462125226,5604531.396669525,200
0,0,31,25570.0888768678,4588689.111475233,200
0,0,32,23499.00328822237,3799416.355715255,200
0,0,33,21138.96478975193,3065520.765526888,200
0,0,34,19962.70409197867,2719712.935678249,200
0,0,35,19057.70226156433,2497278.263875451,200
0,0,36,17897.03805017425,2229339.766680861,200
0,0,37,17276.00125288467,2272737.782812441,200
0,0,38,16883.50821307356,2112344.226386838,200
0,0,39,15697.88200635043,1777249.737881207,200
0,0,40,15031.08952517643,1724340.200084629,200
0,0,41,12862.91306850854,1182858.296077846,200
0,0,42,12326.51419313356,1271916.72154412,200
0,0,43,11855.53811855073,981420.9929246414,200
0,0,44,10915.02781324502,878939.6811682716,200
0,0,45,11279.66480316323,1060632.766200125,200
0,0,46,10526.4141680801,964192.0821985735,200
0,0,47,9385.600754561869,819323.1638322177,200
0,0,48,7923.98994964108,584416.274981314,200
0,0,49,7069.748131603061,409885.0333911985,200
0,0,50,5334.372876366058,240968.2153862017,200
0,0,51,4316.604939276301,214642.1667037846,200
0,0,52,4094.565448701868,256199.4017702834,200
0,0,53,2934.499664949611,119699.3326330288,200
0,0,54,2846.604293301438,107941.8944767951,200
0,0,55,1990.810897984906,46892.95076341221,200
0,0,56,1644.424362289958,33013.63259241872,200
0,0,57,1476.831074226396,35034.14116509393,200
0,0,58,1412.810777718542,37988.32102238449,198
0,0,59,854.961709676904,13385.50117678276,199
0,0,60,806.023081191969,14580.26873948703,198
0,0,61,747.551453125898,21141.23417175701,199
0,0,62,758.0790676974455,36594.83213423214,200
0,0,63,419.4312577925305,8934.364401330433,194
0,0,64,250.0080371929492,10126.62682534857,195
0,0,65,237.9058884423349,6800.610653937008,183
0,0,66,241.0930535931638,6893.734558520724,161
0,0,67,115.7999901697975,2249.854044145218,138
0,0,68,37.54378017867116,128.7586159970458,98
0,0,69,7.281100385665948,11.36739297059596,53
0,0,70,0.05427123472327366,0.001292489273125632,16
