//# mesh name: cylinderMesh1
//# primitive scorer name: eDep
//# iZ, iPHI, iR, total(value) [MeV], total(val^2), entry
0,0,0,740.6354682415135,548540.896817326,1
0,0,1,885.0060079471632,783235.6341025743,1
0,0,2,668.9958429198762,447555.4378440756,1
0,0,3,629.4675895596571,396229.4463060449,1
0,0,4,706.4378104075137,499054.3799733622,1
0,0,5,626.7550575276474,392821.9021364846,1
0,0,6,374.5382027519323,140278.8653206476,1
0,0,7,195.797777917071,38336.76983726265,1
0,0,8,447.5254191174602,200279.0007562584,1
0,0,9,207.2320312767785,42945.11478709969,1
0,0,10,224.0140800271554,50182.30805041279,1
0,0,11,227.6143111880369,51808.27465760448,1
0,0,12,164.7511477389463,27142.94068130013,1
0,0,13,136.292943734165,18575.76651172426,1
0,0,14,197.0446657523946,38826.60030147293,1
0,0,15,116.2808580935157,13521.23795896434,1
0,0,16,61.21630823552935,3747.436393987338,1
0,0,17,56.28920813307166,3168.474952248261,1
0,0,18,60.73436183091057,3688.662707007966,1
0,0,19,57.28493612966998,3281.563907380369,1
0,0,20,131.1264934193615,17194.15727645784,1
0,0,21,247.844949357388,61427.11892196624,1
0,0,22,109.7500517974725,12045.07386954789,1
0,0,23,81.84128072708413,6697.995231049392,1
0,0,24,63.20747649660748,3995.185085069187,1
0,0,25,133.7683901205535,17893.98219544459,1
0,0,26,91.54450992189061,8380.397296839128,1
0,0,27,106.5157350108284,11345.60180489701,1
0,0,28,81.82004060580039,6694.519044734824,1
0,0,29,3.988594260288518,15.90888417320651,1
0,0,30,23.84737844282336,568.6974585952363,1
0,0,31,11.90513545848899,141.7322502849719,1
0,0,32,76.00068495576866,5776.104113746001,1
0,0,33,18.3171707194367,335.518743164989,1
0,0,34,17.77978868424774,316.1208856565039,1
0,0,35,81.06147096610397,6570.962075188517,1
0,0,36,63.6446902350468,4050.646595115062,1
0,0,37,3.736060949042676,13.95815141496166,1
0,0,38,1.733385069689467,3.004623799822359,1
0,0,39,16.22415100647493,263.2230758809015,1
0,0,40,11.93748832803245,142.503627581911,1
0,0,41,3.233863785038753,10.45787498018517,1
0,0,42,0.5176495051086445,0.2679610101392246,1
0,0,43,1.154755989301993,1.333461394828825,1
0,0,44,2.153118354153315,4.635918646991879,1
0,0,45,5.644667469001569,31.86227083560458,1
0,0,46,8.828719898330647,77.9462950431795,1
0,0,47,3.788852286261816,14.35540164711139,1
0,0,48,12.62125436084963,159.2960616412659,1
0,0,49,7.380409422665471,54.47044324616927,1
0,0,50,1.826725014738108,3.336924279469941,1
0,0,51,4.269630276535485,18.22974269830848,1
0,0,52,2.777160572714421,7.712620846639491,1
0,0,53,3.76832175944277,14.20024888268986,1
0,0,54,2.054018222028683,4.218990856425872,1
0,0,55,0.3267159772794603,0.1067433298096728,1
0,0,56,0.06458682980883168,0.004171458584754989,1
0,0,57,0.0638743096133112,0.00407992742857714,1
0,0,58,0.05408927513781236,0.002925649684933967,1
0,0,59,0.03770057381916558,0.001421333266294353,1
0,0,60,0.03773632911907043,0.001424030535382803,1
0,0,61,0.01496260699059349,0.000223879607954957,1
0,0,62,0.01919255469692871,0.0003683541557946003,1
0,0,63,0.004515035827353131,2.038554852228237e-05,1
0,0,64,0.0009622440265957266,9.259135667191574e-07,1
0,0,65,0.0006968612578930333,4.856156127522607e-07,1
0,0,66,0,0,0
0,0,67,0,0,0
0,0,68,0,0,0
0,0,69,0,0,0
