# mesh name: cylinderMesh1
# primitive scorer name: eDep
# iZ, iPHI, iR, total(value) [MeV], total(val^2), entry
0,0,0,20939018.38069063,255504830044.9918,2500
0,0,1,13822364.27662713,88037498823.84981,2500
0,0,2,8791550.910872677,34513286009.44646,2500
0,0,3,6250763.078377523,17668587480.27955,2500
0,0,4,4734894.152780958,10289289530.2102,2500
0,0,5,3691226.313905997,6386858174.268681,2499
0,0,6,2961913.643944727,4160887093.942233,2499
0,0,7,2412180.260872392,2780251291.529319,2500
0,0,8,2019070.141556391,1986995628.722929,2499
0,0,9,1706193.658488094,1437595646.153602,2498
0,0,10,1446382.94484947,1047794876.215035,2496
0,0,11,1250797.304531781,795559711.5165075,2494
0,0,12,1092639.562551526,620309272.3539203,2488
0,0,13,957202.8601598159,488075639.5963625,2487
0,0,14,844501.4663033535,388045280.0461529,2488
0,0,15,745402.0001350384,305142122.4916527,2487
0,0,16,654761.9809284067,237635147.9158363,2492
0,0,17,590056.2391774727,193258038.331959,2489
0,0,18,532990.3893677191,160802595.6497457,2487
0,0,19,485471.0116678691,139567629.9992769,2479
0,0,20,436083.6649915022,115063916.8817545,2481
0,0,21,394154.8036840766,93329942.33144303,2478
0,0,22,359094.5941357676,78259789.66053733,2479
0,0,23,326965.3229350771,64487025.43717795,2481
0,0,24,299719.2410241391,55063131.80027033,2478
0,0,25,276652.8085014058,47184149.88095623,2480
0,0,26,254196.7279645133,39623301.55138484,2478
0,0,27,234963.4744686305,34197647.85965059,2478
0,0,28,220076.5328119777,30617260.60679779,2479
0,0,29,200240.401850595,25626717.00621733,2479
0,0,30,190627.6474766333,23562380.96171803,2477
0,0,31,180446.8215538917,21121108.15887384,2476
0,0,32,168770.6750241726,19256354.65354825,2475
0,0,33,156404.807768517,16248855.37826453,2476
0,0,34,145377.1283600571,14254405.59554251,2476
0,0,35,137277.9611150864,13137935.17195059,2473
0,0,36,127798.0291625525,11253999.22274212,2474
0,0,37,124489.1870559899,11529456.51052262,2475
0,0,38,116463.2132260324,10036279.91223123,2474
0,0,39,105608.3989421992,8295228.644034524,2476
0,0,40,98838.01701872786,7059979.387962812,2474
0,0,41,93145.42902823252,6630887.361744792,2474
0,0,42,85209.29388622846,5379530.412815626,2474
0,0,43,81288.15877941702,5087728.70142251,2473
0,0,44,77894.71649319227,4932899.066913864,2475
0,0,45,71648.66804282738,4296472.94047215,2473
0,0,46,65762.19786337717,3558631.867342719,2473
0,0,47,60694.11327694999,3224928.497358621,2472
0,0,48,58626.67442593712,3177521.880239898,2474
0,0,49,52187.88710976496,2659759.020373595,2472
0,0,50,40330.15496534899,1729148.177951626,2467
0,0,51,33615.26808269906,1470561.594309978,2466
0,0,52,26342.18796054438,909208.1447897252,2463
0,0,53,23059.57913149967,808260.5250956161,2461
0,0,54,19249.82174113816,609152.5982340673,2447
0,0,55,15061.25595026901,432711.7601984232,2440
0,0,56,12239.07125236432,288706.0586494146,2431
0,0,57,10133.10170553899,222892.9168327957,2420
0,0,58,8363.661345500004,238559.1641206223,2400
0,0,59,6655.944401314762,125106.5921495904,2392
0,0,60,5760.639827796412,167138.6960504966,2345
0,0,61,4228.896487489437,93881.57144390262,2309
0,0,62,4010.776766919446,122865.9192362148,2274
0,0,63,2643.060466355222,65880.65173665945,2174
0,0,64,1980.262657143459,56589.28275854886,2029
0,0,65,1607.905790955879,37946.56236709777,1807
0,0,66,1031.354783057982,16278.12263908731,1555
0,0,67,677.8816496507695,16151.01762378998,1237
0,0,68,456.489585699857,10148.79537373728,867
0,0,69,129.9117251635876,1627.964065504546,514
0,0,70,8.794115964589025,8.278127006126512,214
