# mesh name: cylinderMesh1
# primitive scorer name: eDep
# iZ, iPHI, iR, total(value) [MeV], total(val^2), entry
0,0,0,4123627.199173011,48490743149.80238,500
0,0,1,2811843.992450397,17936526034.19614,500
0,0,2,1843509.744293211,7385994519.026429,500
0,0,3,1345842.477701228,3964037592.352649,500
0,0,4,1025489.129151908,2306246623.94823,500
0,0,5,833118.2551069508,1644571448.935138,500
0,0,6,671660.3040678927,1043241971.448787,500
0,0,7,557989.4631431305,721278532.0160813,500
0,0,8,469584.7532023187,512026703.548549,500
0,0,9,396350.4380242083,365739626.1847814,500
0,0,10,345345.505828122,287485981.5526157,500
0,0,11,295965.4676483034,209831234.3929226,500
0,0,12,265276.7794120476,174293555.9115586,500
0,0,13,228334.4759193613,129746233.6250583,500
0,0,14,203942.5565606461,105374206.9290548,500
0,0,15,183687.2676719211,85180464.14692068,500
0,0,16,157819.0260235936,64828110.3393777,500
0,0,17,145106.9076001843,56353125.84139345,500
0,0,18,131504.1327875611,46659992.29967338,500
0,0,19,119089.1234700398,38187119.18804145,500
0,0,20,110364.7382325647,36061201.88364183,500
0,0,21,101532.6236863352,28169950.51245975,500
0,0,22,93897.62225188193,24855959.58327857,500
0,0,23,84164.37481290437,19940990.95514939,500
0,0,24,79504.80688037157,18028097.42291835,500
0,0,25,70304.85290103056,13643938.30078653,500
0,0,26,67900.15669971601,13177391.42658501,500
0,0,27,61425.60900757143,11346169.71175461,500
0,0,28,56799.92148369688,9372461.74533253,500
0,0,29,53298.41213487749,8466247.955627143,500
0,0,30,50239.83213555267,7677416.819222513,500
0,0,31,46771.03979967843,6319068.508506169,500
0,0,32,43634.48034881381,5768344.196883254,500
0,0,33,40858.98251438877,4893077.750441349,500
0,0,34,37513.28202856548,4265113.906290482,500
0,0,35,35626.00448308493,3835006.891600593,500
0,0,36,33690.97029273087,3486078.969567894,500
0,0,37,32832.60938724609,3348992.258095283,500
0,0,38,30782.73835609929,2869649.20938299,500
0,0,39,28268.32022284708,2512825.622679084,500
0,0,40,26726.9859226236,2328498.939833081,500
0,0,41,26093.72729990684,2305583.981629093,500
0,0,42,25358.71398981457,2666685.472302776,500
0,0,43,21341.00642909438,1455101.504701291,500
0,0,44,20305.07761335916,1400991.956929469,500
0,0,45,19485.23320682595,1368670.477723755,500
0,0,46,16937.38332753007,1013699.253978331,500
0,0,47,16898.160600555,1290470.665646231,500
0,0,48,14335.40485202573,739418.949714865,500
0,0,49,14105.53178310941,862934.6451457795,500
0,0,50,10635.85809432115,517122.0425575442,500
0,0,51,8548.037923083099,377486.3460474173,499
0,0,52,7597.066524049053,362919.3561841795,499
0,0,53,6573.144691064338,264377.5905772771,500
0,0,54,4613.359561312359,124888.8271439533,497
0,0,55,4746.295328070581,158275.4283212389,498
0,0,56,4086.207312730632,155682.41968352,495
0,0,57,3087.245178245174,107814.752245997,493
0,0,58,2414.607881413943,60065.71918535745,491
0,0,59,2099.386353238642,65835.69269636873,495
0,0,60,1572.029658442625,47028.37154243957,492
0,0,61,1328.153485986105,31748.0074331677,486
0,0,62,717.1683678527498,8157.600457802258,477
0,0,63,741.5721044107148,13667.49710787557,467
0,0,64,660.2081231452973,14685.30571065509,440
0,0,65,653.6889104273106,18547.83676385755,410
0,0,66,368.2820257311212,11003.68719293127,365
0,0,67,339.3885076058548,13995.63723061421,299
0,0,68,91.33215798470188,665.8769297134104,220
0,0,69,49.04618106517579,435.8070747863646,125
0,0,70,5.767493879249922,8.156530970549907,57
