# mesh name: cylinderMesh1
# primitive scorer name: eDep
# iZ, iPHI, iR, total(value) [MeV], total(val^2), entry
0,0,0,21283086.12811165,260180790770.8195,2500
0,0,1,14293857.26424225,91824286746.51096,2500
0,0,2,9214244.995758895,36973535695.91553,2500
0,0,3,6640350.47800404,19270847119.0536,2500
0,0,4,5124882.278546844,11773979557.89689,2500
0,0,5,4081451.737107276,7605167518.701249,2500
0,0,6,3310589.288262175,5054801112.203132,2500
0,0,7,2763538.482580317,3569200332.427782,2500
0,0,8,2314041.570908126,2528604549.749847,2500
0,0,9,1968237.247978621,1850638657.366493,2500
0,0,10,1683947.019195426,1386247133.616671,2500
0,0,11,1466564.161686638,1050237023.945555,2500
0,0,12,1282716.178708413,816692998.0243778,2500
0,0,13,1120752.82808128,630595837.7181597,2500
0,0,14,991189.1774639225,496246783.9624104,2500
0,0,15,895484.2961287342,414799087.1621686,2500
0,0,16,789772.5780728391,328034975.7869177,2500
0,0,17,707339.662475921,263909076.1681046,2500
0,0,18,646663.601346396,226647003.6255582,2500
0,0,19,590626.6962028109,191657546.5497003,2500
0,0,20,532017.0443961427,156269680.3523548,2500
0,0,21,488401.1896251417,129941812.7181699,2500
0,0,22,449245.5267965643,114740329.2667208,2500
0,0,23,415383.8204767408,97971851.63435277,2500
0,0,24,384828.7964673301,85882044.09426473,2500
0,0,25,356753.0802031444,75652756.21871103,2500
0,0,26,329439.8673967338,64576700.04711688,2500
0,0,27,303535.0948705878,55276230.73651336,2500
0,0,28,280631.5349131192,46211587.06658807,2500
0,0,29,254611.228509717,38474373.67180613,2500
0,0,30,247989.160433767,37345826.71292795,2500
0,0,31,229759.0351453411,31993202.84614492,2500
0,0,32,216037.1060425256,28843550.17018805,2499
0,0,33,202021.0505719311,24821973.18352916,2500
0,0,34,186948.509609457,21316565.25116064,2500
0,0,35,177934.19613692,19579508.70432822,2500
0,0,36,165509.9041670771,17454960.08056938,2499
0,0,37,160089.0405377303,16515007.30706117,2499
0,0,38,150018.6297877797,14622522.95657762,2499
0,0,39,139179.6672916995,12493826.03418154,2499
0,0,40,134422.869941021,12200047.9609847,2498
0,0,41,127608.6057593635,11084517.15058639,2498
0,0,42,117340.6270545146,9871413.161663555,2498
0,0,43,106982.6032032476,7790188.180168627,2498
0,0,44,100388.4009772475,6982180.846263719,2500
0,0,45,95991.10979505823,6622469.672732365,2500
0,0,46,87956.36878493908,5738034.486847835,2498
0,0,47,82551.36797355191,5642129.799590874,2498
0,0,48,74041.42224782759,4088472.546984771,2499
0,0,49,68995.25654275301,4072223.950818229,2499
0,0,50,53041.43025735184,2547563.373125078,2500
0,0,51,43679.6300028963,1927125.286719001,2499
0,0,52,36615.00880210646,1554193.938946204,2496
0,0,53,29976.96500865946,1049858.296549516,2495
0,0,54,24602.02956576976,761037.3928399225,2492
0,0,55,22115.2083573772,739374.7959943159,2486
0,0,56,18290.21811472983,555613.2714401738,2480
0,0,57,14643.65340370278,444626.6689963584,2476
0,0,58,12404.60324883046,332050.8550018118,2471
0,0,59,10676.11980256064,395890.6298348269,2463
0,0,60,8372.382398349244,226764.1324888904,2438
0,0,61,7148.39433661271,204175.0563022009,2411
0,0,62,5051.108378774657,126946.0267754253,2372
0,0,63,4451.901488366251,120745.8897158858,2306
0,0,64,3228.852966428888,118342.7843962055,2229
0,0,65,2581.981028213566,87640.15477446378,2072
0,0,66,1404.292075630671,25345.19280005194,1828
0,0,67,1308.542542974463,40605.10436070427,1511
0,0,68,714.2843540097273,15359.58984703012,1082
0,0,69,450.531367382489,20180.73625448244,640
0,0,70,15.89036225950856,28.47775412152699,266
